순위,제목,가수
1,헤어져줘서 고마워,벤
2,술이 문제야,장혜진
3,We don`t talk together (Feat. 기리보이) (Prod. SUGA),헤이즈 (Heize)
4,니 소식,송하예
5,Snapping,청하
6,솔직하게 말해서 나,김나영
7,사랑에 연습이 있었다면 (Prod. 2soo),임재현
8,Speechless (Full),Naomi Scott
9,2002,Anne-Marie
10,bad guy,Billie Eilish (빌리 아일리시)
11,포장마차,황인욱
12,너에게 못했던 내 마지막 말은,다비치
13,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
14,작은 것들을 위한 시 (Boy With Luv) feat. Halsey,방탄소년단
15,괜찮아도 괜찮아 (That`s okay),디오 (D.O.)
16,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz)
17,서울 밤 (feat. 빈지노),어반자카파
18,FANCY,TWICE (트와이스)
19,비가 내리는 날에는,윤하 (YOUNHA)
20,U GOT IT,갓츄 (GOT U)
21,A Whole New World,Mena Massoud
22,누구 없소 (NO ONE) (Feat. B.I of iKON),이하이
23,주저하는 연인들을 위해,잔나비
24,짐살라빔 (Zimzalabim),Red Velvet (레드벨벳)
25,노래방에서,장범준
26,사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN)
27,Goodbye,박효신
28,열대야 (Fever),여자친구 (GFRIEND)
29,사계 (Four Seasons),태연 (TAEYEON)
30,그때가 좋았어,케이시 (Kassy)
31,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이
32,Uh-Oh,(여자)아이들
33,이뻐이뻐 (Pretty girl),크레파스
34,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
35,BIRTHDAY,전소미
36,Paris In The Rain,Lauv
37,움직여 (MOVE) (Prod. by ZICO),SIXC (6 crazy)
38,"나만, 봄",볼빨간사춘기
39,BAND,창모 (CHANGMO)
40,사계 (하루살이),엠씨더맥스
41,너를 만나,폴킴
42,대충 입고 나와,우디 (Woody)
43,AH YEAH (아예),WINNER
44,비워 (Beer) (Prod. Way Ched),창모 (CHANGMO)
45,달라달라,ITZY (있지)
46,옥탑방 (Rooftop),엔플라잉 (N.Flying)
47,Kill This Love,BLACKPINK
48,벌써 12시,청하
49,봄날,방탄소년단
50,소우주 (Mikrokosmos),방탄소년단
