movieCd,movieNm,movieNmEn,movieNmOg,openDt,watchGradeNm,showTm,openDt,movie_data,directors
20196309,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,,20190702,12세이상관람가,129,20190702,액션,존 왓츠
20183867,알라딘,Aladdin,,20190523,전체관람가,127,20190523,어드벤처,가이 리치
20184047,토이 스토리 4,Toy Story 4,,20190620,전체관람가,99,20190620,애니메이션,조시 쿨리
20185353,기방도령,HOMME FATALE,,20190710,15세이상관람가,110,20190710,코미디,남대중
20183782,기생충,PARASITE,,20190530,15세이상관람가,131,20190530,드라마,봉준호
20185986,진범,The Culprit,,20190710,15세이상관람가,100,20190710,스릴러,고정욱
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,劇場版おしりたんてい：カレーなる事件,20190711,전체관람가,68,20190711,애니메이션,히라야마 미호
20199951,애나벨 집으로,Annabelle Comes Home,,20190626,15세이상관람가,105,20190626,공포(호러),게리 도버먼
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,,20190626,청소년관람불가,131,20190626,액션,채드 스타헬스키
20192151,미드소마,Midsommar,,20190711,청소년관람불가,147,20190711,공포(호러),아리 애스터
20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,,20190619,15세이상관람가,117,20190619,액션,강윤성
20190273,천로역정: 천국을 찾아서,The Pilgrim's Progress,,20190613,전체관람가,113,20190613,애니메이션,로버트 페르난데스
20182585,비스트,The Beast,,20190626,15세이상관람가,130,20190626,범죄,이정호
20192591,BIFAN2019 판타스틱 단편 걸작선 1,Fantastic Short Films 1,,,,,,기타,
20192022,마담 싸이코,Greta,,20190626,15세이상관람가,98,20190626,공포(호러),닐 조단
20196657,맨 인 블랙: 인터내셔널,Men in Black: International,,20190612,12세이상관람가,115,20190612,액션,F. 게리 그레이
20190885,사탄의 인형,Child's Play,,20190620,청소년관람불가,90,20190620,공포(호러),라스 클리브버그
20182387,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,,20190605,12세이상관람가,113,20190605,액션,사이먼 킨버그
20190466,세상을 바꾼 변호인,ON THE BASIS OF SEX,,20190613,12세이상관람가,120,20190613,드라마,미미 레더
